"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13380,"Bellingham, WA (Metropolitan Statistical Area)",24639,26043,25942,27492,29128,30325,32210,34562,36355,35525,36471,38243,40294,39871,41660,43284,44010,45464,48174,51191,53903,58107,59169,62095
13460,"Bend, OR (Metropolitan Statistical Area)",27457,28962,28917,29818,31056,32852,35713,36690,37490,34637,34833,37004,39270,41173,43280,47322,49780,52636,55513,57770,63905,70556,75972,81025
13740,"Billings, MT (Metropolitan Statistical Area)",25940,26720,27158,28466,30645,32377,34332,36729,38778,37481,39005,41355,44431,44135,46618,47462,47233,49485,51585,52851,56111,62153,65328,68898
13780,"Binghamton, NY (Metropolitan Statistical Area)",26069,26247,26594,26785,27924,28345,30080,31930,33851,34411,35494,36366,37109,37075,37402,38500,38919,41133,42094,43922,47946,50473,49745,52659
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",29499,30160,30954,31936,34206,35893,37820,39131,39946,38083,39422,40755,42387,42030,43455,45438,46008,48116,50087,51900,54798,60940,62993,66502
13900,"Bismarck, ND (Metropolitan Statistical Area)",26157,28110,28472,30238,31789,33274,34859,37308,39908,40844,43339,47605,52473,52983,56381,54793,54095,53651,55920,57622,60508,67193,69701,72043
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",21055,21669,22373,23388,24455,25490,26677,27954,28640,28657,28682,29775,30822,31022,32537,33891,34448,35811,37411,38417,40969,44712,47014,50496
14010,"Bloomington, IL (Metropolitan Statistical Area)",29975,32046,32351,33102,33917,34144,36456,37543,39415,38922,40269,42291,42715,43277,43234,45488,46291,46969,48975,49833,54811,58808,59028,61174
14020,"Bloomington, IN (Metropolitan Statistical Area)",24257,24550,24805,25651,26822,27397,28574,29295,31108,30689,30938,32575,33837,33951,35484,37337,39072,41215,43173,44928,47834,52318,54178,56651
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",23963,24813,26225,27206,28042,28759,30056,32050,33637,33058,34768,36564,37304,38131,38831,40320,41788,43241,44940,46249,50257,53257,53706,56534
14260,"Boise City, ID (Metropolitan Statistical Area)",29590,29222,29593,29882,31367,32150,34574,35061,34535,33026,33622,34893,36272,37337,38983,40711,41576,43355,45619,47979,51657,58086,61112,63689
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",42332,43439,42914,43610,45982,48155,51971,54597,56416,55375,57743,60000,61497,61247,63577,67498,69730,72921,76593,80093,84686,92742,95926,100880
14500,"Boulder, CO (Metropolitan Statistical Area) *",41247,42140,41301,42175,43163,45886,48567,50429,52310,47097,50353,52376,54426,55937,59479,63236,64154,68368,71554,78583,81963,92317,95454,100242
14540,"Bowling Green, KY (Metropolitan Statistical Area)",22730,23415,23940,24492,25851,26878,27507,28484,29697,28631,29886,31059,31816,32092,33265,34417,34760,35546,36005,37501,40383,44199,44878,47028
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",30267,31101,32198,33763,35664,37742,38736,40698,42550,41584,42192,42962,44397,44522,46745,47769,49370,51361,53958,57692,62337,66369,68389,73841
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",61662,66195,64643,64486,68225,73568,81275,89760,98966,97982,102570,102990,101721,95074,99709,101229,103697,106958,112885,113656,113480,121905,130214,139006
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",15558,16812,17555,18077,18237,18878,19804,20804,21982,22443,23613,24473,24806,25304,26134,26745,27375,27739,28931,30204,33559,38105,36934,38523
15260,"Brunswick, GA (Metropolitan Statistical Area)",26629,27048,27637,28833,30894,32282,33861,34107,33143,31266,32028,33489,33950,34406,35879,37912,38666,40562,43057,44160,48674,53262,54933,57595
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",28227,28270,28807,29780,31015,31564,33288,35108,36776,37187,38394,39807,40874,41093,41927,43592,44386,46465,47516,49460,54269,56855,57503,61106
15500,"Burlington, NC (Metropolitan Statistical Area)",26166,26891,27071,27879,28150,28910,30935,32280,32981,31708,31997,33112,34023,34249,35429,36231,36898,37908,39317,41186,44125,48449,49338,51405
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",31555,32897,33406,34827,36356,37046,39185,41167,43665,42979,43923,46810,48028,48760,50471,51594,52634,53858,55455,58201,61330,64575,68465,71933
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",30228,30656,32497,34379,36014,37593,39499,41690,44140,45355,46968,49051,49283,49206,50377,52210,53265,54180,56253,58433,61911,64999,66497,70353
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",26867,27221,27639,28451,29349,30276,31485,33003,34123,33017,34114,36376,37660,38063,39359,40713,40670,42242,43621,45058,48465,52884,53757,56549
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",28655,31218,31160,32466,35764,37361,40983,40592,41090,39841,39519,41969,42181,41980,44811,46699,48712,50829,53089,55393,58641,61275,61510,65878
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",23915,24682,25532,26668,28234,29027,30252,32153,32918,32572,33195,34435,36420,36783,37135,38603,39509,40493,42081,42516,45800,48290,50322,53822
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",22327,24007,25062,25465,26107,26910,27884,28940,30474,31533,33345,34305,35106,35121,35759,37261,37712,39006,40470,41899,45277,48705,49337,51949
16180,"Carson City, NV (Metropolitan Statistical Area)",33144,23409,20116,21137,21018,24421,30220,28971,29552,41039,44491,42720,41963,40792,41059,43171,42960,45721,48000,49979,55770,59320,59966,63498
16220,"Casper, WY (Metropolitan Statistical Area)",32502,31798,32256,34018,35963,40247,46280,47023,53805,45599,50125,54092,60164,61454,68307,69890,61137,62874,67467,64535,63092,67034,75040,79846
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",30434,30856,31160,31628,33037,33971,35648,37936,40184,39739,41062,42733,44616,44546,46220,47752,48538,49401,51137,52106,54965,59415,61485,63448
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",25653,27006,27525,28857,31007,32805,34182,35807,36436,35375,36301,38049,38474,39060,40602,41623,42101,43655,45854,47430,51092,54799,56112,58380
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",27234,28698,29145,29694,30853,30857,31878,33433,35519,37101,38261,39675,40143,41772,42759,43870,43372,43974,45085,46761,50788,55044,56627,59680
16620,"Charleston, WV (Metropolitan Statistical Area)",25858,26867,27701,27995,28256,29886,31807,33072,35298,35308,36131,38085,38703,38124,39216,39873,39724,40991,43437,44794,47451,51076,53023,56140
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",26360,26786,27728,28743,30378,32525,34389,36415,36624,35023,36926,39492,42255,41087,43505,45666,47234,49183,51035,54545,56685,61901,64567,68486
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",30476,29330,29577,30815,33550,35973,39174,42069,46124,41131,38795,40396,44700,42063,44018,46427,47749,50027,52075,54534,58135,63408,66223,69588
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",32371,33596,33860,35670,37657,39590,42632,44724,46243,44183,45987,47955,51324,50454,52510,55160,57656,61783,64886,67653,68587,78496,84021,90472
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",27800,27687,28029,29040,30180,31170,32722,33833,34921,34139,35724,37419,39166,38774,39744,41696,42437,44176,45844,47669,50292,53797,56016,58813
16940,"Cheyenne, WY (Metropolitan Statistical Area)",29202,30369,32207,34154,35790,37320,39904,41465,45346,42237,43320,48142,48327,48065,49335,49560,48054,49348,51951,52555,55487,60073,60874,65150
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",35946,36940,37189,37665,38960,40696,43305,45679,46420,43456,44319,46281,48771,49358,51758,54367,55036,56973,60423,62232,65871,71206,73317,77429
17020,"Chico, CA (Metropolitan Statistical Area)",23103,24747,25076,25918,27353,28071,29791,31301,31806,31868,32994,33669,34536,35366,36600,39347,40653,41568,42612,45912,51323,55937,53962,56847
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",30893,32116,32741,33558,35128,36250,38004,39018,40264,38633,39882,42415,43884,44265,46011,47901,49234,51043,52889,55282,58736,63980,65267,68560
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",23887,23867,25517,27395,28855,31316,33601,33418,35721,35357,36667,39405,38362,37703,37367,38093,38396,39063,39710,41100,44568,48414,48814,51007
17420,"Cleveland, TN (Metropolitan Statistical Area)",23310,23312,23724,24934,26248,26886,28267,29522,30895,30002,30895,32533,34018,34005,34602,35623,36029,36688,38040,39136,42060,45751,47189,48971
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",31748,31878,32033,32776,34156,35325,37510,39389,40887,39035,39702,42231,44033,44340,46176,47630,48744,50407,52254,54067,56929,62011,63830,67451
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",23979,25254,25618,26456,27831,29355,30979,32283,32709,31631,32293,33778,35378,36503,38166,39979,40862,42542,44794,47798,51552,58725,59973,63893
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",20400,21655,22006,23368,24036,25142,26543,27573,29990,29515,31039,32103,33646,34574,36307,36336,36139,37862,40522,41695,44068,48850,48638,51507
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",30707,31078,31399,32031,32861,34353,35420,36977,37913,37809,38325,40287,41137,40958,42824,44222,44599,46245,48074,50605,54476,59608,62021,65775
17860,"Columbia, MO (Metropolitan Statistical Area)",26990,27990,28394,29270,31111,31514,32741,33837,36083,37075,36582,37819,39301,40059,40867,42243,42820,44126,44861,47505,50036,53874,55928,59338
17900,"Columbia, SC (Metropolitan Statistical Area)",27708,27945,28585,29276,30270,31475,33281,34478,35562,34424,34747,36055,37176,37703,39269,41232,42053,43746,44700,46720,49506,54066,54683,57976
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",24986,26041,27044,28500,29000,30167,31179,32030,32874,31726,32919,34683,34504,33571,34497,36234,37131,38448,39308,39994,42868,46669,47512,49717
18020,"Columbus, IN (Metropolitan Statistical Area)",31010,29840,30580,31623,33003,33387,35571,36608,38236,36100,37925,40964,43763,43212,45158,46951,47482,49628,53228,54331,57424,60392,62848,65564
18140,"Columbus, OH (Metropolitan Statistical Area)",30863,31067,31616,32316,33473,34438,35877,37392,38533,37633,38682,41317,43526,43806,45180,46931,47741,49084,50570,52024,55801,60921,62311,65277
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",23726,25683,26321,27732,28672,30498,32235,33255,36666,34468,36850,39708,41043,42345,43857,42808,40823,42867,43957,46626,48154,53136,53182,56264
18700,"Corvallis, OR (Metropolitan Statistical Area)",29002,30126,29963,31635,32333,32671,34091,34644,36541,34557,35730,37385,37325,37241,38922,40054,41482,42266,44708,46732,49888,55284,56253,60307
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",27464,28735,30352,32875,34694,36668,38578,39614,39838,38644,40878,41958,43600,42986,44609,46167,47673,49958,52589,55955,58886,65538,66399,69941
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",21168,24748,25892,26791,27582,27186,26948,27521,29383,30087,31291,32367,33028,33317,34730,35891,37505,38672,40296,41916,45548,48276,47150,49268
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",33798,34557,34183,34362,35161,37513,40096,41454,43970,40228,41658,45629,47019,47605,50155,50829,51457,54001,57142,59432,61409,67666,70887,74165
19140,"Dalton, GA (Metropolitan Statistical Area)",23860,25817,26138,26731,27068,26487,26595,26956,26750,25259,25837,26753,27686,28994,30992,33026,33687,34356,36249,37689,40361,44259,44001,45373
19180,"Danville, IL (Metropolitan Statistical Area)",22426,23485,24011,25616,26349,26367,27417,28545,30713,30708,32117,33876,33920,35150,35082,35703,36102,37356,38609,39800,44319,49237,49732,51471
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",26683,27222,27614,28365,30671,32510,34976,36215,36220,35363,36794,38032,38284,38401,39568,41470,42983,44475,45840,47921,50895,56285,57621,60969
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",27740,28805,29384,30480,33001,33936,35679,37665,40045,38927,40023,42286,42877,43109,43271,44023,44864,46505,47757,48428,51856,55923,57360,60134
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",29252,30072,30481,31072,31813,32403,34166,35163,36138,35492,36339,38381,39185,39531,41086,42614,43445,45289,46860,48387,52169,56013,56612,59915
19460,"Decatur, AL (Metropolitan Statistical Area)",23896,24500,24558,25713,27212,28081,29233,30434,31325,30521,31318,31802,32466,33183,34463,34994,35022,36175,37634,39415,42038,45604,46778,48528
19500,"Decatur, IL (Metropolitan Statistical Area)",27807,30138,30444,30321,31752,32498,34357,36597,38697,38618,39050,41236,41268,42308,43643,43479,43802,44738,47184,47288,51640,56052,57486,60030
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",23801,25715,26457,27577,29154,30486,32057,33245,33834,32066,33648,34650,35732,35759,37236,38514,39848,41763,43599,46639,48282,52896,53695,57280
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",37919,38695,38130,38302,39259,41263,44019,45665,46890,43394,43950,47639,49759,51719,55342,55715,55116,58958,63541,67590,71292,79446,86141,89297
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",31714,32956,33609,34262,36554,37566,39547,40965,42394,41211,42205,43486,45688,45531,47671,49529,50598,51743,53224,54722,58245,63195,65423,68420
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",34525,34895,34509,35217,35926,36742,37291,38577,39215,37111,38239,40826,42417,42554,44393,47056,48085,49302,51421,52859,57017,60724,62545,66098
20020,"Dothan, AL (Metropolitan Statistical Area)",23255,25174,25901,26498,28122,29610,30928,32387,32795,32357,33681,34708,34824,35109,36146,37422,38221,39120,40659,42548,45733,50131,50430,52512
20100,"Dover, DE (Metropolitan Statistical Area)",27115,26934,28123,29442,30849,31156,32483,33172,33504,34641,34225,35559,35586,36465,37285,37776,39366,40869,42425,44271,45372,49496,50931,52494
20220,"Dubuque, IA (Metropolitan Statistical Area)",26297,26929,27558,28137,28980,29910,32443,35013,36497,35586,36917,39080,40726,40823,42243,43735,44553,45667,48436,49522,52928,57897,61190,63435
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",25907,26213,27254,28012,29061,29232,30715,32534,34574,34225,36296,38298,38901,38775,40194,41432,41262,42733,45236,46579,49308,54093,54990,57316
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",29930,30460,30124,30788,33982,35669,37847,40100,41406,40110,41009,42354,43720,43092,45211,46896,48330,50342,51955,54941,58068,62626,65122,68654
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",25277,26501,26935,27443,28615,29526,30560,32117,33320,32488,32437,34024,33792,35784,37323,38736,39836,40965,42569,44973,48503,51663,51977,54716
20740,"Eau Claire, WI (Metropolitan Statistical Area)",26768,27514,28157,28791,29608,30450,32276,34176,35557,35929,36860,38683,39995,39894,41595,42267,42137,44189,46524,48125,51084,55502,57015,59135
20940,"El Centro, CA (Metropolitan Statistical Area)",19108,20723,22995,23381,23530,24097,25334,26270,28108,27867,29124,31225,31427,32625,33756,36118,35248,35579,35211,37662,45909,48487,45622,47991
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",24417,25163,25681,26923,27932,28612,29866,30975,32230,33154,33723,35085,35781,35337,36497,38347,39532,40378,40943,42821,46183,50683,51431,53708
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",27389,26703,27749,28460,29781,30705,31439,32088,31213,28576,30580,32386,34752,35789,38305,39803,41334,44498,45823,45616,48687,56966,58844,58662
21300,"Elmira, NY (Metropolitan Statistical Area)",25429,25514,25416,26010,26992,28338,29804,31178,33534,33623,35110,36744,37042,37740,38831,39277,39560,41634,43142,45198,49265,51914,52228,53850
21340,"El Paso, TX (Metropolitan Statistical Area)",19167,19842,20715,21259,22028,23083,23925,25049,26002,26743,28768,30013,30813,30276,31546,32475,32876,33882,35312,36893,39993,44213,44062,46732
21420,"Enid, OK (Metropolitan Statistical Area)",24226,25520,26533,28300,30243,31806,35181,36348,38675,36600,39516,41838,44586,42963,45551,43508,43122,42079,42904,43353,44273,48039,49362,51152
21500,"Erie, PA (Metropolitan Statistical Area)",25318,25960,26547,26940,28319,29227,30647,32429,34016,33413,34627,36800,37779,37689,38612,39769,40437,41388,43848,45267,50048,52723,51554,54694
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",25716,26820,26842,27208,28780,30330,32792,33162,33830,32652,33555,34456,35760,35830,37779,39986,41095,42916,44676,46304,50662,56148,57885,61634
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",28311,29477,30039,30614,31515,32607,34437,34576,36617,35937,38039,40514,41721,40090,41710,42984,43388,45116,46555,48998,52505,57317,58863,61605
21820,"Fairbanks, AK (Metropolitan Statistical Area)",29619,29940,31636,33397,34298,37003,40524,42197,46238,46181,46814,51460,50889,48788,51670,53021,52140,53427,56329,58345,60352,65085,67899,69775
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",28342,28283,29377,30577,31698,33037,35094,36919,39956,38656,40577,43551,47255,46907,49074,49734,49343,50151,52978,53870,57555,63126,65666,68326
22140,"Farmington, NM (Metropolitan Statistical Area)",19056,20428,20544,21313,22842,24826,27376,29558,32714,30409,30682,32690,33274,32316,34096,34492,33469,34291,35799,36619,38933,42947,44161,46055
22180,"Fayetteville, NC (Metropolitan Statistical Area)",23874,24158,25358,26588,27524,29169,29876,30668,31735,31499,31837,32429,32999,32592,33444,34301,34275,35262,36521,38030,41245,45121,45803,47602
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",26306,27654,28557,29772,32461,34427,36798,38827,40775,38073,39003,43673,49681,48542,54076,57351,59379,61192,65233,62234,64497,77159,85237,89095
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",23623,24885,25428,26354,27850,29324,31746,33669,35821,34089,34532,36417,36900,38335,40017,42212,43235,46085,47821,48976,52855,58092,58396,62002
22420,"Flint, MI (Metropolitan Statistical Area)",26768,26555,26681,27410,27853,28248,29168,29704,30455,29610,30592,32099,33206,33835,34939,36764,37703,38727,40154,41652,45413,48331,48700,52520
22500,"Florence, SC (Metropolitan Statistical Area)",23793,24576,25081,25756,26890,27629,29307,30526,31563,30790,31279,32703,33258,33944,35118,36412,37535,38839,40621,43125,45737,50193,50975,53326
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",21943,22712,23010,24091,25474,26871,28149,29564,30152,29860,31235,32045,32314,32439,33681,34546,34946,35402,36377,38047,41409,44559,44899,47156
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",28499,28812,29799,30366,31230,32031,33177,35024,36770,35566,36789,38109,39660,39815,41591,43131,43503,45208,47537,49524,52435,56767,58178,60018
22660,"Fort Collins, CO (Metropolitan Statistical Area)",30727,32066,31841,31758,32719,33972,35739,37666,38301,37027,37474,39109,40767,42292,44655,46446,48072,51423,53677,56225,59520,64885,67788,71359
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",22290,22384,22604,23611,25330,26266,27695,28480,29921,29255,30085,32061,33145,33274,34766,35596,35931,36691,37562,39212,41781,45348,45780,47206
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",29660,29428,29863,29653,30769,31549,33593,34606,35251,33683,34559,36619,38169,38046,39879,41650,42432,43435,45600,46875,50134,56034,58206,60361
23420,"Fresno, CA (Metropolitan Statistical Area)",23069,23460,24611,25863,26923,27597,29137,30293,30454,30176,31181,32667,33284,34420,36379,38288,39065,39594,40602,42636,48200,51977,50440,52728
23460,"Gadsden, AL (Metropolitan Statistical Area)",21723,22283,23019,23836,25093,25933,26705,28302,29158,29085,30191,30632,30987,31168,32263,33728,34226,35164,36167,37313,39536,42777,43196,45062
23540,"Gainesville, FL (Metropolitan Statistical Area)",24017,25307,25637,26301,28662,30210,31633,32744,33712,32585,33967,34966,34851,34864,36402,37400,38050,40157,41874,43838,46380,50186,50847,54166
23580,"Gainesville, GA (Metropolitan Statistical Area)",25315,25825,26374,27727,29419,30800,31639,32233,31437,30628,30908,33106,33891,34576,36577,39217,40410,42772,45139,46350,49283,55114,57126,60036
23900,"Gettysburg, PA (Metropolitan Statistical Area)",26118,28097,28850,30247,31069,32261,33310,35082,36923,36806,37567,39063,39929,40721,42561,44203,44749,45899,47838,48890,52997,55416,56506,58880
24020,"Glens Falls, NY (Metropolitan Statistical Area)",25412,25416,25839,26902,28770,29349,30437,31391,33660,34805,36184,37494,38422,39095,39439,40845,41709,44195,45278,47713,53091,55002,55799,59040
